transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date,province,date,day,month,year,day_of_week,season,is_holiday
TXN_9687814,Coffee,2.0,3.5,7.0,Digital Wallet,In-store,2023-09-28,British Columbia,2023-09-28,28,9,2023,Thursday,fall,False
TXN_7668262,Donut,1.0,2.0,2.0,Digital Wallet,In-store,2023-11-27,British Columbia,2023-11-27,27,11,2023,Monday,fall,False
TXN_7321503,Tea,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-15,British Columbia,2023-09-15,15,9,2023,Friday,fall,False
TXN_7075658,Coffee,4.0,3.5,14.0,Credit Card,In-store,2023-10-21,Manitoba,2023-10-21,21,10,2023,Saturday,fall,False
TXN_3811286,Salad,5.0,9.0,45.0,Credit Card,Takeaway,2023-10-04,Manitoba,2023-10-04,4,10,2023,Wednesday,fall,False
TXN_3573981,Salad,4.0,9.0,36.0,Credit Card,In-store,2023-11-10,Newfoundland,2023-11-10,10,11,2023,Friday,fall,False
TXN_5358404,Sandwich,5.0,8.0,40.0,Cash,In-store,2023-08-24,British Columbia,2023-08-24,24,8,2023,Thursday,summer,False
TXN_6486109,Coffee,3.0,3.5,10.5,Digital Wallet,In-store,2023-02-28,British Columbia,2023-02-28,28,2,2023,Tuesday,winter,False
TXN_9297177,Coffee,2.0,3.5,7.0,Credit Card,In-store,2023-07-07,Newfoundland,2023-07-07,7,7,2023,Friday,summer,False
TXN_7630300,Cookie,1.0,2.5,2.5,Credit Card,In-store,2023-07-09,British Columbia,2023-07-09,9,7,2023,Sunday,summer,False
TXN_4023020,Tea,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-02-20,British Columbia,2023-02-20,20,2,2023,Monday,winter,False
TXN_2950053,Cookie,3.0,2.5,7.5,Digital Wallet,Takeaway,2023-09-01,Saskatchewan,2023-09-01,1,9,2023,Friday,fall,False
TXN_7999686,Tea,1.0,3.0,3.0,Credit Card,In-store,2023-05-15,British Columbia,2023-05-15,15,5,2023,Monday,spring,False
TXN_6567119,Donut,2.0,2.0,4.0,Credit Card,In-store,2023-06-16,Manitoba,2023-06-16,16,6,2023,Friday,summer,False
TXN_7290247,Coffee,1.0,3.5,3.5,Credit Card,In-store,2023-08-30,Newfoundland,2023-08-30,30,8,2023,Wednesday,summer,False
TXN_8998040,Donut,4.0,2.0,8.0,Credit Card,Takeaway,2023-12-12,Manitoba,2023-12-12,12,12,2023,Tuesday,winter,False
TXN_3380759,Tea,2.0,3.0,6.0,Cash,In-store,2023-12-06,Manitoba,2023-12-06,6,12,2023,Wednesday,winter,False
TXN_9258216,Juice,1.0,4.5,4.5,Cash,In-store,2023-09-21,British Columbia,2023-09-21,21,9,2023,Thursday,fall,False
TXN_7971324,Tea,5.0,3.0,15.0,Digital Wallet,In-store,2023-01-02,Saskatchewan,2023-01-02,2,1,2023,Monday,winter,True
TXN_8454386,Coffee,2.0,3.5,7.0,Digital Wallet,Takeaway,2023-02-23,British Columbia,2023-02-23,23,2,2023,Thursday,winter,False
