source_row_number,transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date,transaction_month,weekday_name,day_type,province,duplicate_transaction_id_flag,missing_date_flag,item_imputed_flag,quantity_repaired_flag,price_per_unit_repaired_flag,total_spent_repaired_flag,unknown_payment_flag,unknown_location_flag,unknown_province_flag,revenue_mismatch_flag,item_price_mismatch_flag
2,TXN_9687814,Coffee,2,3.5,7.0,Digital Wallet,In-store,2023-09-28,2023-09,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
3,TXN_7002925,Refresher,2,5.0,10.0,Cash,Unknown Location,2023-05-02,2023-05,Tuesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,True,False,False,False
4,TXN_7668262,Donut,1,2.0,2.0,Digital Wallet,In-store,2023-11-27,2023-11,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
5,TXN_8322624,Refresher,3,5.0,15.0,Unknown Payment,In-store,,,,,Saskatchewan,False,True,False,False,False,False,True,False,False,False,False
6,TXN_9390285,Coffee,1,3.5,3.5,Unknown Payment,Takeaway,2023-05-11,2023-05,Thursday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,True,False,False,False,False
7,TXN_7321503,Tea,1,3.0,3.0,Credit Card,Takeaway,2023-09-15,2023-09,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
8,TXN_7075658,Coffee,4,3.5,14.0,Credit Card,In-store,2023-10-21,2023-10,Saturday,Weekend,Manitoba,False,False,False,False,False,False,False,False,False,False,False
9,TXN_3811286,Salad,5,9.0,45.0,Credit Card,Takeaway,2023-10-04,2023-10,Wednesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
10,TXN_3573981,Salad,4,9.0,36.0,Credit Card,In-store,2023-11-10,2023-11,Friday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
11,TXN_5358404,Sandwich,5,8.0,40.0,Cash,In-store,2023-08-24,2023-08,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
12,TXN_6486109,Coffee,3,3.5,10.5,Digital Wallet,In-store,2023-02-28,2023-02,Tuesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
